document	threshold	run	accuracy	solution
D009	0.25	1.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	0.25	2.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	0.25	3.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	0.25	4.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	0.25	5.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	0.25	6.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	0.25	7.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	0.25	8.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	0.25	9.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	0.25	10.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	0.5	1.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	0.5	2.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	0.5	3.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	0.5	4.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	0.5	5.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	0.5	6.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	0.5	7.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	0.5	8.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	0.5	9.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	0.5	10.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	0.75	1.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	0.75	2.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	0.75	3.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	0.75	4.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	0.75	5.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	0.75	6.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	0.75	7.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	0.75	8.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	0.75	9.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	0.75	10.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	1.0	1.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	1.0	2.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	1.0	3.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	1.0	4.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	1.0	5.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	1.0	6.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	1.0	7.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	1.0	8.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	1.0	9.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	1.0	10.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D009	1.25	1.0	0.782608695652	0 1 2 3 22 8 9 10 11 12 13 14 15 16 17 18 19 20 4 5 6 7 21 23
D009	1.25	2.0	0.782608695652	0 1 2 3 22 8 9 10 11 12 13 14 15 16 17 18 19 20 4 5 6 7 21 23
D009	1.25	3.0	0.782608695652	0 1 2 3 22 8 9 10 11 12 13 14 15 16 17 18 19 20 4 5 6 7 21 23
D009	1.25	4.0	0.782608695652	0 1 2 3 22 8 9 10 11 12 13 14 15 16 17 18 19 20 4 5 6 7 21 23
D009	1.25	5.0	0.782608695652	0 1 2 3 22 8 9 10 11 12 13 14 15 16 17 18 19 20 4 5 6 7 21 23
D009	1.25	6.0	0.782608695652	0 1 2 3 22 8 9 10 11 12 13 14 15 16 17 18 19 20 4 5 6 7 21 23
D009	1.25	7.0	0.782608695652	0 1 2 3 22 8 9 10 11 12 13 14 15 16 17 18 19 20 4 5 6 7 21 23
D009	1.25	8.0	0.782608695652	0 1 2 3 22 8 9 10 11 12 13 14 15 16 17 18 19 20 4 5 6 7 21 23
D009	1.25	9.0	0.782608695652	0 1 2 3 22 8 9 10 11 12 13 14 15 16 17 18 19 20 4 5 6 7 21 23
D009	1.25	10.0	0.782608695652	0 1 2 3 22 8 9 10 11 12 13 14 15 16 17 18 19 20 4 5 6 7 21 23
D009	1.5	1.0	0.652173913043	0 1 2 6 4 5 3 22 8 9 10 11 12 13 14 15 16 17 18 19 20 7 21 23
D009	1.5	2.0	0.608695652174	0 1 2 6 7 21 12 13 14 15 16 17 18 19 20 4 5 3 22 9 10 11 8 23
D009	1.5	3.0	0.652173913043	0 1 2 6 7 21 12 13 14 15 16 17 18 19 20 10 11 8 9 4 5 3 22 23
D009	1.5	4.0	0.608695652174	0 1 2 6 7 21 12 13 14 15 16 17 18 19 20 4 5 3 22 9 10 11 8 23
D009	1.5	5.0	0.608695652174	0 1 2 6 7 21 12 13 14 15 16 17 18 19 20 4 5 3 22 9 10 11 8 23
D009	1.5	6.0	0.608695652174	0 1 2 6 7 21 12 13 14 15 16 17 18 19 20 4 5 3 22 9 10 11 8 23
D009	1.5	7.0	0.652173913043	0 1 2 6 4 5 3 22 8 9 10 11 12 13 14 15 16 17 18 19 20 7 21 23
D009	1.5	8.0	0.652173913043	0 1 2 6 4 5 3 22 8 9 10 11 12 13 14 15 16 17 18 19 20 7 21 23
D009	1.5	9.0	0.608695652174	0 1 2 6 7 21 12 13 14 15 16 17 18 19 20 4 5 3 22 9 10 11 8 23
D009	1.5	10.0	0.608695652174	0 1 2 6 7 21 12 13 14 15 16 17 18 19 20 4 5 3 22 9 10 11 8 23
D004	0.25	1.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D004	0.25	2.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D004	0.25	3.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D004	0.25	4.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D004	0.25	5.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D004	0.25	6.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D004	0.25	7.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D004	0.25	8.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
D004	0.25	9.0	1.0	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
