method	run	time
sleit	1.0	10.270123
sleit	2.0	6.279634
sleit	3.0	5.894091
sleit	4.0	5.543672
sleit	5.0	5.691794
sleit	6.0	5.530287
sleit	7.0	5.582563
sleit	8.0	5.496355
sleit	9.0	5.788581
sleit	10.0	5.531937
proposed	1.0	592.277712
proposed	2.0	619.329859
proposed	3.0	589.939148
proposed	4.0	588.418599
proposed	5.0	609.696622
proposed	6.0	604.075812
proposed	7.0	592.961955
proposed	8.0	592.26602
proposed	9.0	588.193636
proposed	10.0	585.723028
morandell	1.0	7.073924
morandell	2.0	4.890641
morandell	3.0	4.867356
morandell	4.0	4.864534
morandell	5.0	4.900587
morandell	6.0	4.919184
morandell	7.0	4.895833
morandell	8.0	4.924645
morandell	9.0	4.88217
morandell	10.0	4.858484
andalo2	1.0	4.466539
andalo2	2.0	4.491911
andalo2	3.0	4.485673
andalo2	4.0	4.504318
andalo2	5.0	4.48891
andalo2	6.0	4.46175
andalo2	7.0	4.489041
andalo2	8.0	4.46656
andalo2	9.0	4.481478
andalo2	10.0	4.522568
andalo1	1.0	3.816597
andalo1	2.0	3.805961
andalo1	3.0	3.805144
andalo1	4.0	3.769984
andalo1	5.0	3.754143
andalo1	6.0	3.797362
andalo1	7.0	3.812631
andalo1	8.0	3.79989
andalo1	9.0	3.78967
andalo1	10.0	3.795727
marques	1.0	4.136036
marques	2.0	3.793264
marques	3.0	3.829084
marques	4.0	3.844405
marques	5.0	3.84701
marques	6.0	3.852946
marques	7.0	3.839373
marques	8.0	3.85786
marques	9.0	3.813145
marques	10.0	3.86949
balme	1.0	3.998686
balme	2.0	3.770568
balme	3.0	3.764887
balme	4.0	3.797615
balme	5.0	3.806603
balme	6.0	3.737262
balme	7.0	3.852066
balme	8.0	3.790139
balme	9.0	3.752757
balme	10.0	3.773772
